vendor_name	invoice_pattern	charge_type	sample_count	priority
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /	Empty & Return	168	1
Republic Services	PICKUP SERVICE /	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	168	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /	Empty & Return	160	1
Republic Services	PICKUP SERVICE /	Empty & Return	160	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	160	1
Republic Services	PICKUP SERVICE /	Empty & Return	156	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	152	1
Republic Services	RECYCLE CONTAINER CU YD LIFTS PER WEEK\N	Empty & Return	152	1
Republic Services	WASTE COMPACTOR CU YD ON CALL SERVICE	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	152	1
Republic Services	PICKUP SERVICE /	Empty & Return	144	1
Republic Services	/	Empty & Return	138	1
Republic Services	PICKUP SERVICE /\NSERVICE\NRECEIPT NUMBE	Empty & Return	138	1
Republic Services	PICKUP SERVICE /	Empty & Return	138	1
Republic Services	PICKUP SERVICE /	Empty & Return	138	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	138	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	138	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	136	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	136	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	132	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	132	1
Republic Services	PICKUP SERVICE /	Empty & Return	128	1
Republic Services	PICKUP SERVICE /	Empty & Return	127	1
Republic Services	PICKUP SERVICE /	Empty & Return	124	1
Republic Services	FRONT LOAD YD LIFTS PER WEEK\NWASTE/RECY	Overage	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NE\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NE\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	120	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	120	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	120	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	120	1
Republic Services	WASTE/RECYCLING OVERAGE /	Overage	120	1
Republic Services	WASTE/RECYCLING OVERAGE /\N FRONT LOAD R	Overage	120	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER\N	Empty & Return	114	1
Republic Services	PICKUP SERVICE /	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
Republic Services	PICKUP SERVICE /\NRECEIPT NUMBER	Empty & Return	114	1
